source_genesymbol,target_genesymbol,interaction_type
Pdgfrb,Siglec12,->
Tp53,Cd59b,->
Ikbkb,Tp63,->
Nfkb1,Tnfsf14,->
Tnfsf14,Tnfrsf14,->
Runx1,Cd160,->
Nfatc1,Myog,->
Rela,Tradd,->
Src,Sh3glb1,->
Akt1,Map3k5,-|
Akt1,Hand1,->
Akt1,Rara,->
Rara,Tnfaip2,->
Rel,Btk,->
Cdk2,Mcm4,-|
Nfe2l2,Abcc1,->
Tp53,Dido1,->
Esr1,Inhba,->
Esr1,Lama1,->
Lama1,Gpc1,->
Atm,Mcm5,->
Rela,Wt1,->
Rela,Plk1,->
Ar,Dapk3,->
Casp7,Dffa,->
Insr,Stat5b,->
Foxa2,Eomes,->
Tp53,Ddb1,->
Rela,Bcl2a1,->
Tnf,Vsir,->
Sqstm1,Keap1,-|
Keap1,Cul3,->
Rela,Tnfrsf10b,-|
Stat6,Nfil3,->
Tp53,Plk4,-|
Il18,Il18rap,->
Rela,Abcb1a,->
Esr1,Mnda,->
Rela,Stat4,->
Insr,Irs1,->
Irs1,Pik3cg,->
Dapk1,Map1b,->
E2f1,Mcm10,->
Akt1,Sirt6,->
Ikbkb,Fos,->
Nfkb1,Crebbp,->
Crebbp,Hnf1a,->
Akt1,Sox2,->
Prkd1,Ywhah,->
Casp8,Bcap31,->
Rela,Birc3,->
Csnk2a1,Slk,-|
Cebpb,Ywhae,->
Tgfbr2,Tgfbr1,->
Irf3,Ccl12,->
Rela,Ppard,-|
Nfkb2,Psip1,->
Rela,Il1b,->
Esr1,Prkcd,->
Prkcd,Fli1,-|
Irf3,Crebbp,->
Crebbp,Mef2c,->
Tnfsf14,Ltbr,->
Ube2i,Hsf2,-|
Irf3,Mapk1,->
Mapk1,Aebp1,->
Nfkb1,Cebpa,->
Cebpa,Mpo,->
Esr1,Odc1,->
Mycn,Slc25a19,->
Gata2,Tnfrsf19,->
Tp53,Siva1,->
Nfatc1,Pias2,->
Esr1,Ace2,->
Rela,Sox9,->
Sox9,Hapln1,->
Myc,Gpc3,->
Mapk14,Mapkapk2,->
Rela,Vwf,->
Esr1,Ncoa2,->
Tp63,Klf12,->
Ikbkb,Nfkbib,->
Tp53,Zbtb7a,->
Csnk2a1,Ascl1,->
Tp53,Ei24,->
Irf3,Tnfsf10,->
Casp8,Fas,->
Myc,Pdik1l,->
Nfkb1,Atf3,->
Nfkb1,Myb,->
Rora,Nr1d2,->
Insr,Ptk2,->
Ptk2,Capn1,-|
Ehmt2,Dnmt3b,->
Insr,Ptpn11,->
Rela,Becn1,->
Tnf,Tnfrsf21,->
Tp53,Mycn,-|
Mycn,Btc,->
Tp63,Chn1,->
Creb1,Prlhr,-|
Ikbkb,Bcl10,->
Rela,Sirt1,->
Sirt1,Foxl2,-|
Prkaca,Rgs14,->
Akt1,Acot4,->
Rela,H2-Q10,->
Rela,Hes1,->
Hes1,Tlx3,->
Akt1,Mitf,->
Mitf,Pax4,-|
Rela,Ciita,->
Stat6,Socs3,->
Socs3,Il6ra,-|
Chuk,H3c11,->
Myc,Nfyc,-|
Rela,Cav1,->
Esr1,Aurka,->
Nr1i2,Hivep3,->
Rela,Nrf1,->
Esr1,Crabp2,->
Gata2,Tef,->
Sirt1,Nbn,->
Sp1,Stk38,->
Stat6,Il1r1,->
Akt1,Pou5f1,->
Pou5f1,Sall4,->
Mapk3,Etv6,-|
Tp53,E2f7,->
Tnfrsf11b,Nrxn2,->
Rela,Nqo1,->
Btrc,Gli3,->
Akt1,Lmna,->
Akt1,Foxo4,->
Casp8,Casp6,->
Nfkb1,H2-T23,->
Stat6,Il13,-|
Tnfsf13b,Tnfrsf13b,->
Ebf1,Ebf2,->
Akt1,Cycs,->
Nfkb1,Apoe,->
Apoe,Trem2,->
Cdk2,Ets2,->
Egr1,Nab2,->
Rela,Hif1a,->
Irf3,Pparg,->
Esr1,Pparg,-|
Pparg,Rorc,->
Atm,Rassf1,->
Rela,Tgm2,->
Ikbkb,Bad,-|
Nfatc1,Nfic,->
Mapk1,Rps6ka2,->
