Ar,->,Fgf2
Smad4,->,Tnfsf13b
Xbp1,->,Pou2af1
Fgfr1,->,Kl
Atm,->,Abl1
Birc6,-|,Casp7
Gata4,->,Sirt1
Nr5a1,->,Rara
Neo1,-|,Bmp2
Csnk2a1,->,Tnf
Cdk1,->,Runx2
Mafk,->,Cdk6
Dnmt1,->,Ar
Fadd,->,Tradd
Nr5a1,->,Nr2f2
Klf4,->,Myc
Tcf12,->,Neurod1
Dnmt1,->,Runx3
Cdk2,->,Prkcb
Hmgb2,->,Gfi1b
Prkdc,->,Afdn
Prkci,-|,Bad
Nfkb1,->,Tank
Tef,->,Lmo2
Mapk9,->,Mapk10
Spi1,->,Il1rn
Il6st,->,Erbb2
Prkca,->,Rigi
Lrp5,-|,Gsk3b
Runx3,->,Il1b
Camk2g,->,Atf1
Ncoa2,->,Casp8ap2
Csnk2a2,-|,Spib
Tcf3,->,Pax5
Junb,->,Rock1
Jun,->,Map2k7
Map3k1,->,Epha4
Egr1,->,Fyn
Creb1,->,Nr4a2
Adrb2,->,Mog
Stat5a,->,Il18r1
Foxo1,->,Cxcr4
Nfkb1,->,Stk39
Grk2,->,Smad2
Ddit3,->,Nfya
Nfe2l2,-|,Pcna
Creb1,->,Dyrk1b
Tcf3,->,Foxo1
Tal1,->,Csnk2a1
Nr0b2,->,Nr1i2
Tfap2a,->,Myc
Tp63,->,Gdf15
Hipk2,->,Elf4
Pparg,->,Sp1
Aurka,->,Sirt1
Ssrp1,->,Faslg
Ppp2cb,->,Bcl2
Ep300,->,Ctnnb1
Stat4,->,Il10
Esr1,-|,Nfe2l2
Twist1,->,Hoxa9
Pparg,->,Sgk1
Casp8,->,Bcap31
Gata1,->,Cops5
Mapk3,-|,Myb
Fos,->,Il12b
Prkca,->,Nfatc2
Lmo2,->,Lyl1
Nr3c1,->,Rxra
Pdcd1lg2,->,Rgmb
Tbx21,->,Stat6
Rock1,->,Pten
Nfkb2,->,Map3k14
Cdk2,->,Mcm2
Yap1,-|,Sox5
Ets1,->,Nr1i2
Mapk8,->,Esr1
Pou4f1,->,Egr1
Foxo1,->,Nr1i2
Ntn3,->,Neo1
Nr1i2,->,Aurkb
Mycn,->,Tjp1
Setd1a,->,Bcl2l11
Runx1,->,Crebbp
Ikbke,->,Rela
Sp1,->,Hif1a
Sp1,->,Th
Bid,-|,Bcl2l1
Tp53,->,Xiap
Ywhaz,->,Prkcz
Jak1,->,Fes
Sp1,->,Arnt
Sox2,->,Mycn
Atf4,->,Nfe2l2
Foxp3,-|,Skp2
Jun,-|,Tp53
Srebf1,->,Cebpb
Rela,->,Klf2
Wt1,->,Litaf
Cebpa,->,Cops5
Nr2f1,->,Gata4
Ahr,->,Il17a
Calm1,->,Camk4
Rela,->,Tnfrsf9
Foxo3,->,Tnfrsf1a
Capn1,-|,Bcl2l1
Bcl3,->,Hdac1
Atf1,->,Rps6ka3
Map3k5,->,Map2k7
Itga2b,->,F2r
Map3k14,->,Rela
Smad5,->,Akt2
Ntrk1,->,Abl1
Irf2,->,Casp8
Ep300,->,Smad1
Syk,->,Stat3
Creb1,->,Tgfb3
Ncor2,->,Nfe2l2
Pdx1,->,Hes1
Cdk1,->,Nfatc3
Fosl1,->,Il11
Sox5,->,Twist1
Ccnd1,->,Hdac3
Il11ra1,->,Cd40
Ahr,-|,Foxp3
Eno1,->,Casp3
Fyn,-|,Nfe2l2
Traf2,->,Traf1
Cdk1,->,Id2
Smad3,->,Tnfsf13
Rela,->,Tnfsf10
Gfi1,->,Il17f
Rps6ka3,->,Ywhah
Ptpro,-|,Pxn
Axin1,->,Smad3
Runx1,-|,Tnfsf10
Hck,->,Fkbp8
Esr2,->,Akt1
Hoxa10,->,Sp7
Rps6ka3,->,Grin2b
Rps6ka3,->,Esr1
Id2,-|,Myc
Frs2,->,Ptpn11
Nfkb1,->,Ltb
Cebpb,-|,Myc
Smad2,->,Cdkn1a
Irf4,-|,Runx3
Mybl2,->,Cdkn2a
Rela,->,Cxcl10
Klf12,-|,Tfap2a
Il6st,->,Tyk2
Foxl2,->,Sirt1
Pkm,->,Cd44
Calm2,->,Ppp3cb
Stk11,->,Mark1
Nfat5,->,Il10
Ar,->,Abcb1a
Ar,->,Lats2
Pak1,->,Raf1
Ptpn11,-|,Stat5b
Cdk5,->,Parp1
Pitx2,->,Esr2
Ahr,->,Cd40
Prkca,->,Src
Chek2,->,Becn1
Stat6,->,Pim1
Mark2,->,Pink1
Rara,->,Esr1
Pparg,-|,Ctnnb1
Bcl6,->,Cxcr4
Ybx1,-|,Tp53
Prkca,->,Tln1
Sp3,->,Csnk2a2
Mef2a,->,Mapk7
Ptprs,->,Egfr
Rps6ka3,->,Sdc2
Twist1,->,Bcl2
Cdk2,->,Mycn
Tfap2c,->,Ret
Myc,-|,Mapk3
Rara,->,Irak1
Tp53,->,Nqo1
Myc,->,E2f3
Mapk14,->,Stat4
Fos,->,Il11
Pgr,-|,Sumo1
Gsk3b,->,Gli1
Prkdc,->,Etv1
Spi1,->,Calm3
Zbtb7a,->,Nrip1
Gli1,->,Dkk3
Taok3,->,Stk4
Runx2,->,Nfatc2
Cdc14a,->,Cdkn1b
Epgn,->,Erbb4
Ets1,->,Vwf
Foxo3,->,Egr1
Dnmt1,->,Mdm2
Stat6,->,Cnr1
Tnf,->,Flt4
Kl,-|,Igf1r
Stat3,->,Nlk
Pik3r1,->,Erbb2
Ppp1ca,->,Prkcb
Ptpn6,-|,Stat5b
Tfap2a,->,Tgfb3
Tcf7l2,->,Smad1
Egr1,-|,Birc5
Bhlhe40,-|,Vdr
Snph,-|,Stx3
Mycn,-|,Inhba
Ets2,->,Myb
Btrc,-|,Smad4
Tbx2,->,Mapk14
Tfap2a,->,Hrk
Esr2,->,Notch2
Insr,->,Lck
Rxra,->,Ar
Nfyc,->,Hoxb7
Stat3,-|,Faslg
Kat5,->,Cd44
Itgb8,->,Ptk2
E2f3,->,E2f1
Twist2,-|,Runx2
Sp1,->,Cd40
Elavl1,->,Myc
Ncoa3,->,Ar
Kitlg,->,Lrrn3
Prkaca,->,Fgf2
Nfkb1,->,Socs3
Foxo1,-|,Bcl2
Usf2,->,Prkg1
Fyn,->,Mapk14
Ar,->,Tnfrsf1b
Sp3,->,Parp1
Foxo3,->,Prkaa1
Cdk2,->,Daxx
Smad3,-|,Bax
Yy1,->,Ptpra
Lyn,->,Irs1
Mapk14,-|,Gsk3b
Tbpl1,-|,Fos
Hipk2,->,Ep300
Nfia,->,Ctla4
Bcl6,->,Stat6
Bcl6,->,Mapk1
Pml,->,Smad2
Crem,->,Crebbp
Rassf1,-|,Ccnd1
Irf4,->,Irf1
Mycn,-|,Lrrn3
Mapk1,-|,Cebpa
Foxo3,->,Mapk8
Nfkb1,->,Cd2
Sp1,->,Ptn
Cfl1,-|,Ppp2ca
Dsc3,->,Dsg3
Sp1,->,Tgfb1
Srebf1,-|,Cav1
Alk,->,Gsk3b
Tp63,->,Il6
Mapk1,->,Snai1
Sp1,->,Fosb
Tbx21,->,Gata3
Yy1,->,Il6
Prkdc,->,Atm
Akt1,->,Ar
Myb,->,Sumo1
Nr4a2,->,Il17a
Mapk14,->,Kat5
Spi1,->,Tnfsf4
Fos,->,Prkaca
Etv4,-|,Erbb2
Foxo3,->,Casp3
App,->,Gpc1
Cd9,->,Kit
Foxp3,->,Crem
Dlx4,->,Tfap2a
Myod1,->,Ctsb
Ppard,-|,Apoe
Map3k7,->,Map3k14
Hnf1b,->,Creb1
Myc,->,Casp1
Nfyc,-|,Tnfsf11
Fosb,->,Myc
Znf354c,->,Flt1
Spi1,->,Il18
Prkcd,->,Rps6
Stat3,->,Wnt5a
Ikbkb,->,Tp53
Gsk3b,->,Bax
Ncoa3,->,H3c6
Gsk3a,-|,Ctnnb1
Stat5b,->,Aurka
Klf4,-|,Vdr
Cebpb,->,Cxcr4
Ncor2,-|,Pparg
Dnmt3a,->,Rb1
E2f2,->,Cdkn2a
Pax6,->,Mapk1
Ctcf,->,Il10
Smad3,-|,Ppard
Hhex,->,Csnk2a1
Calm3,-|,Akap5
Cdk1,->,Mapk10
Creb1,->,Bcl2l1
Bmf,-|,Bcl2
Traf3,-|,Map3k14
Tfap2a,->,Adra1a
Casp3,->,Dsg3
Grhl3,->,Pten
Lrrc4c,->,Ntng1
Ets1,->,Gata1
Dapk1,-|,Bcl2
Prkaca,->,Nolc1
Ctnnb1,->,Fzd7
Ar,->,Hoxc8
Pim1,->,Foxp3
Nfkb1,->,Vwf
Dnmt3a,-|,Hoxa9
Rb1,->,Ddit3
Nod1,->,Mapk8
Mapk14,->,Sgk1
Ar,->,Adrbk2
Stk11,->,Etv4
Thbs1,->,Lrp1
Satb1,->,Hdac1
Hnf4a,->,Tgfa
Foxo3,->,Foxo4
Med12,->,Foxp3
Dapk1,->,Myl12b
Tp53,->,Mta1
Tp53,->,Th
Tnfrsf11b,->,Nrxn3
Tnfsf10,->,Ccr6
Yy1,->,Snai1
Tcf7l2,-|,Dapk2
Smad3,->,Tgfb1
Spi1,->,Stat3
Kat7,->,Birc3
Prkca,->,Cflar
Tp73,-|,Uvrag
Stat3,->,Ccl20
Pak2,-|,Casp7
Egfr,->,Ppard
Ctbp2,->,Bbc3
Csnk2a2,->,Ddit3
Runx3,->,Thbs1
Prkcq,->,Chuk
Calm1,-|,Grin2a
Egr1,->,Klf5
Nfe2l2,->,Mapk8
Nfkb1,->,Nr4a1
Foxo1,->,Rps6ka3
Gnai3,->,Hck
Rtn4,->,Ngfr
Tp63,->,Ifng
Prkdc,->,Ciita
Pax9,->,Bcl2
Akt1,->,Casp9
Tal1,->,Lmo2
Srebf1,-|,Ar
Mxd1,->,Pdx1
Map2k3,->,Mapk14
Creb1,->,Ltb
Stat3,->,Birc5
Nr2f2,->,Mdm2
Pdcd1,->,Ceacam2
Jun,->,Akt1
Myc,->,Prkaca
Stk3,->,Nr3c1
Mapk3,-|,Casp8
Il2rb,->,Shc1
Ar,->,Cdk5
