source_genesymbol,target_genesymbol,interaction_type
Esr1,Nfya,->
Esr1,Ehmt2,->
Ehmt2,Dnmt3b,->
Esr1,Gas6,->
Gas6,Tyro3,->
Tyro3,Mlkl,->
H2-K1,Cd3d,->
Cd3d,Cdhr2,->
Cdhr2,Unc5a,->
Unc5a,Dcc,-|
Dcc,Dscam,->
Prkdc,Hnrnpu,->
Csnk2a1,Ssrp1,-|
Plk1,Pin1,->
Prkca,Cd163,->
Nfkb1,Cxcl10,->
Runx1,Il17a,->
Esr1,Apaf1,->
Esr1,Krt15,->
Jun,Gtf3a,->
E2f1,Map3k5,->
Esr1,Krt5,->
Nfkb1,Traf5,->
Cdk1,Ddit3,->
Myc,Rpl13a,->
Tnf,Tnfrsf21,->
Foxo1,Maml1,->
Ctnnb1,Pitx2,->
Pitx2,Hnf1b,->
Hnf1b,Mib1,->
Esr1,Ace2,->
Gata2,Tnfaip8l1,->
Ctnnb1,Lmo2,->
Casp1,Il18,->
Esr1,Faslg,->
Esr1,Tnfsf11,-|
Il18r1,Neto2,->
Myc,Tfrc,->
Mapk1,Txnip,->
Stk11,Mark2,->
Esr1,Gclc,->
Mapk1,Mafa,->
Cdk1,Myb,->
Cdk1,Lmna,->
Mycn,Cdkl5,-|
Egfr,Calm3,->
Sp1,Il12b,->
Mycn,Oasl1,->
Cdk1,Birc5,->
Erbb4,Bak1,->
Bak1,Aifm1,->
Sp1,Tbx21,->
Pak1,Myl9,->
Myc,Il11ra1,->
Fos,Clu,-|
Pak1,Snai1,->
Esr1,Mdm2,->
Cdk1,Casp9,-|
Myc,Bcl2l12,->
Nfkb1,Tnfrsf18,->
Myc,Xrcc2,->
Mycn,Mcm10,->
Ctnnb1,Gli3,->
Egr1,Nab2,->
Ehmt2,Dnmt3a,->
Tp53,Prdm1,->
Prdm1,Nlrp12,-|
Esr1,Prmt1,->
Prmt1,Mre11,->
Tp53,Tnfrsf10b,->
Esr1,Casp8ap2,->
Esr1,Cd44,->
Ezh2,Ciita,-|
Ctnnb1,Klf4,-|
Cebpb,Cebpg,->
Ctnnb1,Tjp1,-|
Myc,Nod1,->
Casp3,Birc2,-|
Cdk1,Th,->
Grb2,Inpp5d,->
Inpp5d,Traf6,-|
Traf6,Malt1,->
Bcl2l11,Vdac1,->
Cdk1,Zfp36,->
Gata2,Gfi1,->
Gnai1,Tnfaip8,->
Cebpa,Mpo,->
Csnk2a1,Nol3,->
Tp53,Casp6,->
Tnfrsf17,Ly9,->
Sp1,Zbtb7a,->
Esr1,Siah2,->
Siah2,Hipk2,-|
Esr1,Etv4,->
Ctnnb1,Nr4a2,->
Nr4a2,Pitx3,->
Esr1,Mmp2,->
Grb2,Abl1,->
Abl1,Pdgfrb,->
Pdgfrb,Siglec12,->
Stat3,Klf11,->
Ar,Dapk3,->
Sp1,Tnfrsf8,->
Cdk1,Spib,->
Nfatc2,Tnfsf12,->
Ctnnb1,Enpp2,->
Myc,Nfil3,->
Myc,Nfyc,-|
Cdk1,Srebf1,->
Esr1,Rxra,->
Rxra,Nr2f1,->
Il1b,Il1r2,->
Esr1,Wnk4,-|
Wnk4,Stk39,->
Cdk1,Rxra,->
Mapk8,Jdp2,->
Sp1,Pax6,->
Casp3,Casp2,->
Mapk1,Nr2c2,->
Cdk1,Pml,-|
Nfe2l2,Mafk,->
Foxa2,Lmx1b,->
Lmx1b,Zic1,-|
Cdk1,Elf1,->
Elf1,Fcgrt,-|
Fcgrt,Cd300e,->
Src,Dapk1,-|
Nfkb1,Tnfsf15,->
Cdk1,Bad,->
Ctnnb1,Sdc2,-|
Prkaca,Tgm2,->
Sp1,Mlx,->
Esr1,Nqo1,-|
Esr1,Ccl12,-|
Tnf,Ptprs,->
Esr1,Crabp2,->
Shc1,Foxo3,-|
Esr1,Akt2,->
Akt2,Gata6,->
Tnf,Celsr2,->
Esr1,Mndal,->
Src,Tgfbr2,->
Sp1,Stk38,->
Esr1,Cxcr4,-|
Akt1,Pdcd4,-|
Capn2,Bid,->
Cdk1,Kdm6a,->
Kdm6a,Hoxc4,->
Sumo1,Ctcf,->
Tp53,Hr,-|
Ctnnb1,Sfn,->
Rps6ka3,H2bc3,->
Afdn,Nrxn2,->
Ctnnb1,Tbx3,->
Tbx3,Tbx2,-|
Egfr,Prkcd,->
Prkcd,Fli1,-|
Esr1,Zfp398,->
Zfp398,Znf354c,->
Nfkb1,Il1rn,->
Il1rn,Il1rl2,->
Spi1,Irf8,->
Casp3,Dsg3,->
Esr1,Rara,->
Rara,Cebpe,->
Fas,Daxx,->
Pak1,H3c11,->
Esr1,Serpinb5,->
Calm1,Rit2,->
Rit2,Pou4f1,->
Pik3ca,Btk,->
Esr1,Otub1,->
Otub1,Traf3,-|
Creb1,Dyrk1b,->
Esr1,Ppara,-|
Cdk1,Ep300,->
Cdk1,Krt18,->
Krt18,Tradd,-|
Tp53,Cd59b,->
Esr1,Bak1,->
Fos,Tnfsf4,->
Esr1,Nr4a1,-|
Esr1,Odc1,->
Ctnnb1,Ikbkg,->
Esr1,Fasn,->
Rps6ka3,Atf4,->
Akt1,Sp7,->
Gata2,Tef,->
Tp53,Plk4,-|
Sox10,Sox6,->
Esr1,Lama1,->
Lama1,Gpc1,->
Cdk1,Ptk2,->
Ctnnb1,Casp7,-|
Casp7,Tnfrsf1a,->
Egfr,Grk2,->
Grk2,Gnai3,->
Esr1,Cdkn2a,->
Cd160,Tnfrsf14,->
Snai1,Mbd2,->
Ehmt2,Klf12,->
Tp53,Smad2,->
Cdk1,Nfat5,->
Tp53,Traf4,->
Tp53,Tigar,->
Rps6ka3,Wwc1,->
Csnk2a1,Slk,-|
Src,H2-D1,->
E2f1,Thbs1,->
Esr1,Inhba,->
Ctnnb1,Nr4a1,->
Nr4a1,Hdac9,->
Dlg4,Nos1,->
Nos1,Hdac2,->
Myc,Irf2,->
Esr1,Tgfa,->
Esr1,Phb1,->
Mdm2,Ppp2r2c,-|
Mmp2,Hapln1,-|
Pparg,Nr2f2,->
Ptk2,Capn1,-|
Sp1,Lta,->
Tp53,Bnip3l,->
Dnmt1,Bag4,->
Tp53,Nfyb,-|
Tnf,Vsir,->
E2f1,Siva1,->
Esr1,Tfap2a,->
Mycn,Mcm8,->
Mycn,Akap10,->
Cdk1,Tnfrsf1b,->
Stat3,Bcl3,->
Tp53,Lif,->
Yy1,Spns1,-|
Klf5,Grhl3,->
Cdk1,Akt1s1,->
Akt1s1,Mtor,-|
Tp53,Nr2c1,-|
Cdk1,Aurka,->
Esr1,Ccnd2,->
E2f1,Hrk,->
Esr1,Relb,-|
Tp53,Ulk1,->
Myod1,Cdk2,->
Cdk1,Erbin,->
Erbin,Ripk2,-|
Ctnnb1,Rock1,-|
Rara,Tnfrsf12a,->
Esr1,Fosb,->
Tp53,Xaf1,-|
Cdk1,Ppp1ca,-|
Ppp1ca,Sp3,-|
Src,Hnf4a,-|
Cdk1,Phlpp1,->
Phlpp1,Stk4,->
Esr1,Tnfrsf13c,->
Becn1,Usp10,->
Shc1,Fyn,->
Fyn,Tgfb1i1,->
Ctnnb1,Tgfb2,->
Esr1,Slc1a2,->
Creb1,Tnfsf13,->
Ctnnb1,Pcsk6,->
Pcsk6,Vwf,->
Esr1,Map3k14,->
Esr1,Nr3c1,->
Rest,Pax4,-|
Mapk1,Elk1,->
Tgfb3,Tgfbr3,->
Prkca,Pou2af1,->
Myc,Il11ra2,->
Cdk1,Mapk8ip3,->
Mapk8ip3,Mapk9,->
Mapk1,Mitf,->
Pak1,Stat5a,->
Ctnnb1,Id3,->
Id3,Tcf12,-|
Ptgs2,Keap1,-|
Keap1,Cul3,->
Ctnnb1,Ep300,->
Ep300,Mta1,->
Tp53,Smad3,->
Casp7,Parp1,-|
Myc,Tfdp1,->
Tcf3,Gfi1b,->
Esr1,Pgr,->
Ctnnb1,Tp63,->
Myod1,Myog,->
Dapk1,Peli1,->
Esr1,Abcb1a,->
Rara,Tnfaip2,->
Mycn,Itpr2,->
Egfr,Jak1,->
Jak1,Il7r,->
Casp9,Birc6,-|
Stk3,Stk24,->
Cdk1,Ncoa3,-|
Esr1,Mnda,->
Myc,Itga3,->
Ctnnb1,Mxd1,-|
Esr1,Esr2,->
Esr1,Dbh,->
Esr1,Tdg,->
Tdg,Nkx2-1,->
Egfr,Adam17,->
Rb1,Gata1,->
Cdk1,Mef2c,->
Esr1,Nfatc4,->
Esr1,Ar,->
Ar,Nkx3-1,->
Rock1,Myl12b,->
Tnfsf13,Tnfrsf13b,->
Cdk1,Sirt1,->
Sp1,Gpc4,->
Cdk1,Ppp1r12a,->
Akt1,Acot4,->
Runx1,Foxp3,->
Sox10,Mag,->
Mapk1,Rps6ka1,->
Fadd,Ripk1,->
Egfr,Stat5b,->
Jun,Igfbp7,->
Igfbp7,Mpig6b,->
Mapk1,Tfeb,-|
Cdk1,Sirt2,-|
Mycn,Slc35a4,->
